 18:7:2023 | 13:33:51 @ >> D++ | LOG: cool
 19:7:2023 | 14:12:48 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 14:12:48 @ >> D++ | LOG: sscanf
 19:7:2023 | 14:12:49 @ >> D++ | LOG: is
 19:7:2023 | 14:12:49 @ >> D++ | LOG: so
 19:7:2023 | 14:12:49 @ >> D++ | LOG: cool
 19:7:2023 | 14:17:2 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 14:17:2 @ >> D++ | LOG: sscanf
 19:7:2023 | 14:17:2 @ >> D++ | LOG: is
 19:7:2023 | 14:17:2 @ >> D++ | LOG: so
 19:7:2023 | 14:17:2 @ >> D++ | LOG: cool
 19:7:2023 | 14:20:34 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 14:20:34 @ >> D++ | LOG: sscanf
 19:7:2023 | 14:20:34 @ >> D++ | LOG: is
 19:7:2023 | 14:20:34 @ >> D++ | LOG: so
 19:7:2023 | 14:20:34 @ >> D++ | LOG: cool
 19:7:2023 | 14:34:35 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 14:34:35 @ >> D++ | LOG: sscanf
 19:7:2023 | 14:34:35 @ >> D++ | LOG: is
 19:7:2023 | 14:34:35 @ >> D++ | LOG: so
 19:7:2023 | 14:34:35 @ >> D++ | LOG: cool
 19:7:2023 | 14:37:28 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 14:37:28 @ >> D++ | LOG: sscanf
 19:7:2023 | 14:37:28 @ >> D++ | LOG: is
 19:7:2023 | 14:37:28 @ >> D++ | LOG: so
 19:7:2023 | 14:37:28 @ >> D++ | LOG: cool
 19:7:2023 | 14:44:58 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 14:44:59 @ >> D++ | LOG: sscanf
 19:7:2023 | 14:44:59 @ >> D++ | LOG: is
 19:7:2023 | 14:44:59 @ >> D++ | LOG: so
 19:7:2023 | 14:44:59 @ >> D++ | LOG: cool
 19:7:2023 | 16:51:3 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 16:51:3 @ >> D++ | LOG: sscanf
 19:7:2023 | 16:51:3 @ >> D++ | LOG: is
 19:7:2023 | 16:51:3 @ >> D++ | LOG: so
 19:7:2023 | 16:51:3 @ >> D++ | LOG: cool
 19:7:2023 | 16:58:24 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 16:58:24 @ >> D++ | LOG: sscanf
 19:7:2023 | 16:58:24 @ >> D++ | LOG: is
 19:7:2023 | 16:58:24 @ >> D++ | LOG: so
 19:7:2023 | 16:58:24 @ >> D++ | LOG: cool
 20:7:2023 | 15:59:17 @ >> D++ | LOG: Testvar passed
 20:7:2023 | 16:1:13 @ >> D++ | LOG: Testvar passed
 20:7:2023 | 16:1:13 @ >> D++ | LOG: Testvar passed
 20:7:2023 | 16:4:51 @ >> D++ | LOG: Testvar passed
 20:7:2023 | 16:4:51 @ >> D++ | LOG: Uhm ok
 20:7:2023 | 16:5:45 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 20:7:2023 | 16:5:45 @ >> D++ | LOG: ok
 20:7:2023 | 16:5:45 @ >> D++ | LOG: ok
 20:7:2023 | 16:5:45 @ >> D++ | LOG: ok
 20:7:2023 | 16:5:45 @ >> D++ | LOG: ok
 20:7:2023 | 16:8:47 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 20:7:2023 | 16:8:47 @ >> D++ | LOG: sscanf
 20:7:2023 | 16:8:47 @ >> D++ | LOG: is
 20:7:2023 | 16:8:47 @ >> D++ | LOG: so
 20:7:2023 | 16:8:47 @ >> D++ | LOG: cool
 20:7:2023 | 16:20:57 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 20:7:2023 | 16:20:57 @ >> D++ | LOG: sscanf
 20:7:2023 | 16:20:57 @ >> D++ | LOG: is
 20:7:2023 | 16:20:57 @ >> D++ | LOG: so
 20:7:2023 | 16:20:57 @ >> D++ | LOG: cool
 20:7:2023 | 16:45:21 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 20:7:2023 | 16:45:21 @ >> D++ | LOG: sscanf
 20:7:2023 | 16:45:21 @ >> D++ | LOG: is
 20:7:2023 | 16:45:21 @ >> D++ | LOG: so
 20:7:2023 | 16:45:21 @ >> D++ | LOG: cool
 20:7:2023 | 17:49:33 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 20:7:2023 | 17:49:33 @ >> D++ | LOG: sscanf
 20:7:2023 | 17:49:33 @ >> D++ | LOG: is
 20:7:2023 | 17:49:33 @ >> D++ | LOG: so
 20:7:2023 | 17:49:33 @ >> D++ | LOG: cool
 20:7:2023 | 18:4:32 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 20:7:2023 | 18:4:32 @ >> D++ | LOG: sscanf
 20:7:2023 | 18:4:32 @ >> D++ | LOG: is
 20:7:2023 | 18:4:32 @ >> D++ | LOG: so
 20:7:2023 | 18:4:32 @ >> D++ | LOG: cool
 20:7:2023 | 21:24:35 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 20:7:2023 | 21:24:35 @ >> D++ | LOG: sscanf
 20:7:2023 | 21:24:35 @ >> D++ | LOG: is
 20:7:2023 | 21:24:35 @ >> D++ | LOG: so
 20:7:2023 | 21:24:35 @ >> D++ | LOG: cool
 20:7:2023 | 21:27:0 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:27:0 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:27:0 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:27:0 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:27:1 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:27:1 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:27:1 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:27:1 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:27:1 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:27:1 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:27:1 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:27:1 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:27:4 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 20:7:2023 | 21:27:5 @ >> D++ | LOG: sscanf
 20:7:2023 | 21:27:5 @ >> D++ | LOG: is
 20:7:2023 | 21:27:5 @ >> D++ | LOG: so
 20:7:2023 | 21:27:5 @ >> D++ | LOG: cool
 20:7:2023 | 21:32:48 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:32:48 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:32:48 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:32:49 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:32:49 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:32:49 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:32:49 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:32:49 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:32:52 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 20:7:2023 | 21:32:53 @ >> D++ | LOG: sscanf
 20:7:2023 | 21:32:53 @ >> D++ | LOG: is
 20:7:2023 | 21:32:53 @ >> D++ | LOG: so
 20:7:2023 | 21:32:53 @ >> D++ | LOG: cool
 20:7:2023 | 21:34:26 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:34:26 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:34:27 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:34:27 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:34:27 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:34:27 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:34:27 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:34:27 @ >> D++ | LOG: The inline finally works!
 20:7:2023 | 21:34:36 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 20:7:2023 | 21:34:37 @ >> D++ | LOG: sscanf
 20:7:2023 | 21:34:37 @ >> D++ | LOG: is
 20:7:2023 | 21:34:37 @ >> D++ | LOG: so
 20:7:2023 | 21:34:37 @ >> D++ | LOG: cool
 21:7:2023 | 12:30:12 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:30:13 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:30:13 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:30:13 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:30:13 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:30:13 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:30:13 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:30:13 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:32:57 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:32:57 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:32:57 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:32:57 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:32:57 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:32:57 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:32:57 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:32:57 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:33:1 @ >> D++ | LOG: This should be in dpp.log in scriptfiles
 21:7:2023 | 12:33:1 @ >> D++ | LOG: ok
 21:7:2023 | 12:33:1 @ >> D++ | LOG: ok
 21:7:2023 | 12:33:1 @ >> D++ | LOG: ok
 21:7:2023 | 12:33:1 @ >> D++ | LOG: ok
 21:7:2023 | 12:37:35 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:37:35 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:37:35 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:37:35 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:37:35 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:37:35 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:37:35 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:37:36 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:37:39 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 21:7:2023 | 12:37:39 @ >> D++ | LOG: sscanf
 21:7:2023 | 12:37:39 @ >> D++ | LOG: is
 21:7:2023 | 12:37:39 @ >> D++ | LOG: so
 21:7:2023 | 12:37:39 @ >> D++ | LOG: cool
 21:7:2023 | 12:53:30 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:53:30 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:53:30 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:53:30 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:53:30 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:53:31 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:53:31 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:53:31 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:53:34 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 21:7:2023 | 12:53:34 @ >> D++ | LOG: sscanf
 21:7:2023 | 12:53:34 @ >> D++ | LOG: is
 21:7:2023 | 12:53:34 @ >> D++ | LOG: so
 21:7:2023 | 12:53:34 @ >> D++ | LOG: cool
 21:7:2023 | 12:56:35 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:56:35 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:56:35 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:56:35 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:56:35 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:56:35 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:56:35 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:56:36 @ >> D++ | LOG: The inline finally works!
 21:7:2023 | 12:56:39 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 21:7:2023 | 12:56:39 @ >> D++ | LOG: sscanf
 21:7:2023 | 12:56:39 @ >> D++ | LOG: is
 21:7:2023 | 12:56:39 @ >> D++ | LOG: so
 21:7:2023 | 12:56:39 @ >> D++ | LOG: cool
 22:7:2023 | 22:18:42 @ >> D++ | LOG: Hello World
 22:7:2023 | 22:48:39 @ >> D++ | LOG: OMG actually works
 22:7:2023 | 22:54:7 @ >> D++ | LOG: OMG actually works
 22:7:2023 | 22:55:14 @ >> D++ | LOG: OMG actually works
 22:7:2023 | 23:3:0 @ >> D++ | LOG: OMG actually works
 22:7:2023 | 23:3:6 @ >> D++ | LOG: 2 eeeeeeeeeeeeeeeeee
 22:7:2023 | 23:3:6 @ >> D++ | LOG: 3 eeeeeeeeeeeeeeeeee
 22:7:2023 | 23:3:6 @ >> D++ | LOG: 4 eeeeeeeeeeeeeeeeee
 22:7:2023 | 23:3:7 @ >> D++ | LOG: 5 eeeeeeeeeeeeeeeeee
 22:7:2023 | 23:3:7 @ >> D++ | LOG: 6 eeeeeeeeeeeeeeeeee
 22:7:2023 | 23:3:7 @ >> D++ | LOG: 7 eeeeeeeeeeeeeeeeee
 22:7:2023 | 23:3:7 @ >> D++ | LOG: 8 eeeeeeeeeeeeeeeeee
 22:7:2023 | 23:3:8 @ >> D++ | LOG: 9 eeeeeeeeeeeeeeeeee
 22:7:2023 | 23:3:8 @ >> D++ | LOG: 10 eeeeeeeeeeeeeeeeee
 22:7:2023 | 23:3:8 @ >> D++ | LOG: 11 eeeeeeeeeeeeeeeeee
 22:7:2023 | 23:3:9 @ >> D++ | LOG: This is still runnin right? 11
 23:7:2023 | 12:55:8 @ >> D++ | LOG: OMG actually works
 23:7:2023 | 12:55:14 @ >> D++ | LOG: 2 eeeeeeeeeeeeeeeeee
 23:7:2023 | 12:55:14 @ >> D++ | LOG: 3 eeeeeeeeeeeeeeeeee
 23:7:2023 | 12:55:15 @ >> D++ | LOG: 4 eeeeeeeeeeeeeeeeee
 23:7:2023 | 12:55:15 @ >> D++ | LOG: 5 eeeeeeeeeeeeeeeeee
 23:7:2023 | 12:55:15 @ >> D++ | LOG: 6 eeeeeeeeeeeeeeeeee
 23:7:2023 | 12:55:16 @ >> D++ | LOG: 7 eeeeeeeeeeeeeeeeee
 23:7:2023 | 12:55:16 @ >> D++ | LOG: 8 eeeeeeeeeeeeeeeeee
